energy,dose_mgy_per_photon_density
6,1.88E-09
6.5,1.62E-09
7,1.40E-09
7.5,1.22E-09
8,1.07E-09
8.5,9.48E-10
9,8.43E-10
9.5,7.53E-10
10,6.76E-10
10.5,6.10E-10
11,5.52E-10
11.5,5.02E-10
12,4.58E-10
12.5,4.20E-10
13,3.86E-10
13.5,3.55E-10
14,3.28E-10
14.5,3.04E-10
15,2.82E-10
15.5,2.63E-10
16,2.45E-10
16.5,2.29E-10
17,2.14E-10
17.5,2.01E-10
18,1.89E-10
18.5,1.78E-10
19,1.68E-10
19.5,1.58E-10
20,1.50E-10
20.5,1.42E-10
21,1.34E-10
21.5,1.27E-10
22,1.21E-10
22.5,1.15E-10
23,1.09E-10
23.5,1.04E-10
24,9.96E-11
24.5,9.51E-11
25,9.09E-11
25.5,8.69E-11
26,8.32E-11
26.5,7.97E-11
27,7.65E-11
27.5,7.34E-11
28,7.05E-11
28.5,6.77E-11
29,6.51E-11
29.5,6.27E-11
30,6.03E-11
30.5,5.81E-11
31,5.61E-11
31.5,5.41E-11
32,5.22E-11
32.5,5.04E-11
33,4.87E-11
33.5,4.71E-11
34,4.55E-11
34.5,4.41E-11
35,4.27E-11
35.5,4.13E-11
36,4.00E-11
36.5,3.88E-11
37,3.77E-11
37.5,3.65E-11
38,3.55E-11
38.5,3.44E-11
39,3.34E-11
39.5,3.25E-11
40,3.16E-11
40.5,3.07E-11
41,2.99E-11
41.5,2.91E-11
42,2.83E-11
42.5,2.76E-11
43,2.68E-11
43.5,2.62E-11
44,2.55E-11
44.5,2.49E-11
45,2.42E-11
45.5,2.36E-11
46,2.31E-11
46.5,2.25E-11
47,2.20E-11
47.5,2.15E-11
48,2.10E-11
48.5,2.05E-11
49,2.00E-11
49.5,1.96E-11